true_label,pred_label,human_response,correct,rt_pred_normalized,rt_human_normalized,rt_pred_seconds,rt_human_seconds
1,1,1,True,0.550000011920929,0.05132806673645973,2.880731243665904,0.5374944214278173
4,3,2,False,0.6000000238418579,0.1210935115814209,3.1156790288318073,0.8653190782170813
6,0,0,False,0.4000000059604645,0.31442463397979736,2.175888028207952,1.7737732418474663
5,5,5,True,0.6499999761581421,0.5253241062164307,3.3506265339181924,2.7647802834660755
3,3,2,False,0.6499999761581421,0.09715066850185394,3.3506265339181924,0.7528127459983003
3,3,3,True,0.550000011920929,0.15263302624225616,2.880731243665904,1.0135218251782088
6,6,6,True,0.5,0.1325192004442215,2.6457834585,0.9190078712628702
1,1,1,True,0.5,0.0456053651869297,2.6457834585,0.5106037067545119
6,7,6,True,0.75,0.1303199678659439,3.82052210425,0.9086737772600899
4,4,4,True,0.699999988079071,0.08376874774694443,3.5855743190840963,0.6899317081376755
2,2,2,True,0.6499999761581421,0.4786711633205414,3.3506265339181924,2.5455602236349995
5,5,5,True,0.699999988079071,0.33475634455680847,3.5855743190840963,1.8693110264435422
7,7,7,True,0.75,0.06820839643478394,3.82052210425,0.6168143240263089
7,7,7,True,0.699999988079071,0.08823835104703903,3.5855743190840963,0.7109341710488469
0,0,0,True,0.3499999940395355,0.06432531028985977,1.9409402430420482,0.5985678785894336
2,2,2,True,0.6499999761581421,0.06989439576864243,3.3506265339181924,0.6247367583230781
5,5,2,False,0.699999988079071,0.10492321103811264,3.5855743190840963,0.7893355703706155
6,1,1,False,0.4000000059604645,0.08840157091617584,2.175888028207952,0.711701133800964
1,1,2,False,0.4000000059604645,0.08734007179737091,2.175888028207952,0.7067131976518051
5,5,5,True,0.699999988079071,0.1760409027338028,3.5855743190840963,1.12351437369646
6,6,6,True,0.6000000238418579,0.09012136608362198,3.1156790288318073,0.7197823731848563
7,7,7,True,0.6499999761581421,0.12197845429182053,3.3506265339181924,0.8694773838218061
1,1,1,True,0.4000000059604645,0.09683609008789062,2.175888028207952,0.7513345563182945
5,5,5,True,0.6499999761581421,0.04064090922474861,3.3506265339181924,0.48727595365891946
1,1,6,False,0.5,0.09437193721532822,2.6457834585,0.7397556138845548
1,1,1,True,0.550000011920929,0.0740537941455841,2.880731243665904,0.644281582388931
2,2,2,True,0.699999988079071,0.11498990654945374,3.5855743190840963,0.8366385153792973
5,5,5,True,0.550000011920929,0.11272928863763809,2.880731243665904,0.8260159744821594
2,2,2,True,0.699999988079071,0.10582815110683441,3.5855743190840963,0.793587842653876
2,2,2,True,0.6499999761581421,0.10461562126874924,3.3506265339181924,0.7878902200141815
