true_label,pred_label,human_response,correct,rt_pred_normalized,rt_human_normalized,rt_pred_seconds,rt_human_seconds,difficulty
1,7,1,True,0.375,0.2108164131641388,0.8546676046025562,0.5374944072660991,difficult
4,6,2,False,0.375,0.3793845474720001,0.8546676046025562,0.8653190846058921,difficult
6,4,0,False,0.4000000059604645,0.6334743499755859,0.917207689157642,1.7737732108548847,easy
5,5,5,True,0.875,0.7905983924865723,3.5091826949275395,2.764780210238922,easy
3,3,2,False,0.5249999761581421,0.330078661441803,1.3056291398423443,0.7528127392471835,easy
3,3,3,True,0.30000001192092896,0.43534788489341736,0.6914900684414218,1.0135217718015554,easy
6,6,6,True,0.574999988079071,0.4006941020488739,1.5036983480910162,0.9190078394251171,easy
1,1,1,True,0.42500001192092896,0.19264745712280273,0.9843241284909998,0.5106036993464927,easy
6,6,6,True,0.7250000238418579,0.39669087529182434,2.2971184362112322,0.9086737611190674,difficult
4,4,4,True,0.574999988079071,0.2992013394832611,1.5036983480910162,0.6899317347336332,easy
2,1,2,True,0.550000011920929,0.7613542675971985,1.4011683379826365,2.5455604150916304,easy
5,5,5,True,0.875,0.6520455479621887,3.5091826949275395,1.869311000338202,difficult
7,7,7,True,0.42500001192092896,0.2595445215702057,0.9843241284909998,0.6168143153459706,easy
7,5,7,True,0.6499999761581421,0.309816837310791,1.8585404532337682,0.7109341886233665,difficult
0,6,0,True,0.550000011920929,0.24891453981399536,1.4011683379826365,0.5985678646554936,difficult
2,2,2,True,0.5,0.26406240463256836,1.2166045232523368,0.6247367620799333,difficult
5,5,2,False,0.4749999940395355,0.3468494713306427,1.1336499747310762,0.7893355851714473,difficult
6,1,1,False,0.4000000059604645,0.31019851565361023,0.917207689157642,0.711701120351471,easy
1,1,2,False,0.574999988079071,0.3077087998390198,1.5036983480910162,0.706713231692829,easy
5,5,5,True,0.5249999761581421,0.47182074189186096,1.3056291398423443,1.1235143417536324,difficult
6,6,6,True,0.6000000238418579,0.3141954839229584,1.613731228054805,0.719782361630272,difficult
7,7,7,True,0.4000000059604645,0.38108161091804504,0.917207689157642,0.8694773424172534,easy
