true_label,pred_label,human_response,correct,congruency,rt_pred_normalized,rt_human_normalized,rt_pred_seconds,rt_human_seconds
2,1,2,True,1,0.5,0.5192356109619141,0.658077503034407,0.6679999910003619
1,1,1,True,1,0.44999998807907104,0.3812440037727356,0.6329695552826582,0.599999998363473
3,2,3,True,1,0.800000011920929,0.4439556896686554,0.8310790978922871,0.6299999975354973
2,0,2,True,0,0.550000011920929,0.5037494897842407,0.6841814055442375,0.6600000042038996
3,1,3,True,1,0.5,0.33766916394233704,0.658077503034407,0.5799999977030665
2,2,2,True,0,0.8500000238418579,0.27407073974609375,0.8640454394695402,0.5520000006930108
2,2,2,True,0,0.8500000238418579,0.4781796336174011,0.8640454394695402,0.6470000042710665
2,2,2,True,0,0.8999999761581421,0.3618179261684418,0.8983194123648568,0.591000000410564
1,0,1,True,0,0.6000000238418579,0.4702085256576538,0.7113207692620573,0.6429999967585903
2,2,2,True,1,0.949999988079071,0.33766916394233704,0.9339529695901586,0.5799999977030665
0,2,0,True,0,0.699999988079071,0.2694052755832672,0.768871768122878,0.5500000017162529
0,0,3,False,1,0.550000011920929,0.29256507754325867,0.6841814055442375,0.5599999986660849
3,2,3,True,1,0.6499999761581421,0.3574608564376831,0.7395366334422223,0.5890000008539068
1,1,1,True,1,0.44999998807907104,0.523078203201294,0.6329695552826582,0.6700000089266277
0,1,0,True,1,0.44999998807907104,0.33766916394233704,0.6329695552826582,0.5799999977030665
1,1,3,False,1,0.5,0.3812440037727356,0.658077503034407,0.599999998363473
0,1,0,True,0,0.5,0.5976111888885498,0.658077503034407,0.7099999849109374
1,1,1,True,1,0.44999998807907104,0.4419138729572296,0.6329695552826582,0.6290000063056567
3,2,3,True,1,0.699999988079071,0.26002323627471924,0.768871768122878,0.5460000046421294
0,1,0,True,1,0.5,0.48412567377090454,0.658077503034407,0.6500000013936217
0,2,0,True,0,0.6499999761581421,0.29256507754325867,0.7395366334422223,0.5599999986660849
0,2,0,True,1,0.699999988079071,0.4295942783355713,0.768871768122878,0.6230000066815589
1,2,1,True,1,0.6000000238418579,0.3198170065879822,0.7113207692620573,0.5719999974815364
3,2,3,True,0,0.800000011920929,0.3812440037727356,0.8310790978922871,0.599999998363473
1,2,1,True,0,0.6499999761581421,0.4419138729572296,0.7395366334422223,0.6290000063056567
1,0,1,True,1,0.550000011920929,0.5976111888885498,0.6841814055442375,0.7099999849109374
2,0,2,True,0,0.550000011920929,0.3153149485588074,0.6841814055442375,0.5699999949628566
1,0,1,True,1,0.6000000238418579,0.5037494897842407,0.7113207692620573,0.6600000042038996
3,1,3,True,1,0.44999998807907104,0.3574608564376831,0.6329695552826582,0.5890000008539068
2,1,2,True,0,0.44999998807907104,0.3574608564376831,0.6329695552826582,0.5890000008539068
3,2,3,True,1,0.6000000238418579,0.5249951481819153,0.7113207692620573,0.6709999908340439
0,0,0,True,0,0.550000011920929,0.22179484367370605,0.6841814055442375,0.530000000488792
2,1,2,True,0,0.44999998807907104,0.7748886346817017,0.6329695552826582,0.8150000169803137
0,2,0,True,1,0.6499999761581421,0.3704880177974701,0.7395366334422223,0.5950000053605375
0,1,0,True,0,0.5,0.29026779532432556,0.658077503034407,0.559000002995557
2,1,2,True,1,0.5,0.4439556896686554,0.658077503034407,0.6299999975354973
3,2,3,True,1,0.800000011920929,0.5885275602340698,0.8310790978922871,0.7050000102948958
2,2,2,True,0,0.8500000238418579,0.19978095591068268,0.8640454394695402,0.5209999976935672
3,0,3,True,1,0.550000011920929,0.6138017773628235,0.6841814055442375,0.7189999932327383
3,2,3,True,1,0.8500000238418579,0.3940335214138031,0.8640454394695402,0.6060000044077539
3,2,3,True,0,0.949999988079071,0.40248969197273254,0.9339529695901586,0.6100000002618106
0,0,0,True,1,0.550000011920929,0.4087955057621002,0.6841814055442375,0.6129999952092078
3,2,3,True,1,0.6000000238418579,0.3812440037727356,0.7113207692620573,0.599999998363473
2,1,2,True,1,0.44999998807907104,0.5095786452293396,0.6329695552826582,0.6629999853834717
2,2,2,True,1,0.800000011920929,0.3704880177974701,0.8310790978922871,0.5950000053605375
2,2,2,True,1,1.0,0.3812440037727356,0.971,0.599999998363473
1,1,1,True,0,0.5,0.42338991165161133,0.658077503034407,0.6200000046867694
0,0,0,True,0,0.550000011920929,0.4439556896686554,0.6841814055442375,0.6299999975354973
3,1,3,True,0,0.5,0.9541865587234497,0.658077503034407,0.9369999853767045
1,2,1,True,1,0.6499999761581421,0.42338991165161133,0.7395366334422223,0.6200000046867694
1,3,1,True,0,0.3499999940395355,0.7184698581695557,0.5855909908654705,0.7799999861212166
0,1,0,True,0,0.5,0.4337139427661896,0.658077503034407,0.6250000060421259
2,2,2,True,0,0.800000011920929,0.3661602735519409,0.8310790978922871,0.592999998817374
3,1,3,True,1,0.4000000059604645,0.38338443636894226,0.6088195772640365,0.6009999943513901
1,0,1,True,1,0.6000000238418579,0.2694052755832672,0.7113207692620573,0.5500000017162529
2,1,2,True,0,0.4000000059604645,0.3596412241458893,0.6088195772640365,0.5899999944934109
0,2,0,True,1,0.8999999761581421,0.40038084983825684,0.8983194123648568,0.6089999968669422
1,1,1,True,1,0.5,0.4702085256576538,0.658077503034407,0.6429999967585903
1,2,1,True,1,1.0,0.48412567377090454,0.971,0.6500000013936217
2,0,2,True,1,0.550000011920929,0.3618179261684418,0.6841814055442375,0.591000000410564
2,2,2,True,1,0.8999999761581421,0.3661602735519409,0.8983194123648568,0.592999998817374
2,2,2,True,0,0.75,0.42338991165161133,0.7993705370142242,0.6200000046867694
3,0,3,True,1,0.550000011920929,0.6508050560951233,0.6841814055442375,0.7399999934074837
1,1,1,True,1,0.5,0.46620437502861023,0.658077503034407,0.6410000019167172
1,2,1,True,1,1.0,0.29256507754325867,0.971,0.5599999986660849
3,1,0,False,0,0.5,0.31756794452667236,0.658077503034407,0.5709999943657259
1,0,1,True,0,0.550000011920929,0.37264642119407654,0.6841814055442375,0.5960000009269539
0,2,2,False,1,0.8500000238418579,0.3748012185096741,0.8640454394695402,0.5970000022301625
1,2,1,True,0,0.6499999761581421,0.4378204345703125,0.7395366334422223,0.6270000001630176
1,1,1,True,0,0.44999998807907104,0.3107970952987671,0.6329695552826582,0.5680000053827252
2,2,2,True,0,0.75,0.306263267993927,0.7993705370142242,0.565999999023059
2,2,2,True,1,0.8500000238418579,0.5421205163002014,0.8640454394695402,0.6799999933743011
1,2,1,True,1,0.699999988079071,0.9459295868873596,0.768871768122878,0.931000002983605
2,2,2,True,1,0.6000000238418579,0.45411649346351624,0.7113207692620573,0.6349999989235079
3,2,3,True,1,0.6000000238418579,0.48412567377090454,0.7113207692620573,0.6500000013936217
2,1,2,True,0,0.44999998807907104,0.4920111894607544,0.6329695552826582,0.6540000026505938
3,0,2,False,1,0.6000000238418579,0.3310036361217499,0.7113207692620573,0.5770000013431426
1,1,1,True,0,0.44999998807907104,0.4398687779903412,0.6329695552826582,0.6280000006288825
3,2,3,True,1,0.6499999761581421,0.3790999948978424,0.7395366334422223,0.5989999996127661
2,2,2,True,0,0.6000000238418579,0.858827531337738,0.7113207692620573,0.8700000129916116
0,2,0,True,0,1.0,0.4439556896686554,0.971,0.6299999975354973
1,0,1,True,0,0.550000011920929,0.5515369176864624,0.6841814055442375,0.6849999871350084
3,1,3,True,1,0.4000000059604645,0.3354511559009552,0.6088195772640365,0.5789999971512589
3,1,3,True,0,0.4000000059604645,0.2242177128791809,0.6088195772640365,0.5309999982366974
2,1,2,True,0,0.4000000059604645,0.4998486042022705,0.6088195772640365,0.6579999945792723
0,2,0,True,1,0.699999988079071,0.5976111888885498,0.768871768122878,0.7099999849109374
0,2,0,True,0,0.75,0.2647227942943573,0.7993705370142242,0.5479999938412414
3,1,3,True,1,0.5,0.5269092917442322,0.658077503034407,0.672000000582687
0,2,0,True,1,0.6499999761581421,0.49004432559013367,0.7395366334422223,0.6529999943573211
3,1,3,True,1,0.44999998807907104,0.5421205163002014,0.6329695552826582,0.6799999933743011
3,3,3,True,0,0.30000001192092896,0.25294145941734314,0.5632486689650297,0.542999993858368
0,1,0,True,0,0.44999998807907104,0.3574608564376831,0.6329695552826582,0.5890000008539068
0,1,0,True,0,0.5,0.4641976058483124,0.658077503034407,0.6400000013129329
3,1,3,True,0,0.44999998807907104,0.5383345484733582,0.6329695552826582,0.677999992582976
3,1,3,True,0,0.44999998807907104,0.19731153547763824,0.6329695552826582,0.5199999990084729
1,2,1,True,0,0.6499999761581421,0.6850826740264893,0.7395366334422223,0.7599999911836276
2,2,2,True,1,1.0,0.33766916394233704,0.971,0.5799999977030665
3,2,3,True,1,0.699999988079071,0.36832594871520996,0.768871768122878,0.5939999935821837
3,2,0,False,1,0.800000011920929,0.2694052755832672,0.8310790978922871,0.5500000017162529
3,2,3,True,0,0.8500000238418579,0.25057220458984375,0.8640454394695402,0.5420000049430272
1,0,1,True,1,0.550000011920929,0.4641976058483124,0.6841814055442375,0.6400000013129329
0,2,1,False,1,0.800000011920929,0.18489274382591248,0.8310790978922871,0.5149999978148059
3,1,3,True,1,0.4000000059604645,0.33766916394233704,0.6088195772640365,0.5799999977030665
3,2,3,True,0,1.0,0.24819853901863098,0.971,0.5410000011131741
1,0,1,True,1,0.6000000238418579,0.3812440037727356,0.7113207692620573,0.599999998363473
2,0,2,True,0,0.550000011920929,0.40248969197273254,0.6841814055442375,0.6100000002618106
3,1,3,True,0,0.4000000059604645,0.28796637058258057,0.6088195772640365,0.5579999946350287
3,2,3,True,0,0.699999988079071,0.19731153547763824,0.768871768122878,0.5199999990084729
1,0,1,True,0,0.6000000238418579,0.14689980447292328,0.7113207692620573,0.5000000028082926
1,2,1,True,0,0.75,0.29485827684402466,0.7993705370142242,0.561000001187531
2,1,2,True,0,0.5,0.4398687779903412,0.658077503034407,0.6280000006288825
0,1,0,True,0,0.44999998807907104,0.2193673849105835,0.6329695552826582,0.5289999970624468
1,1,1,True,1,0.4000000059604645,0.48412567377090454,0.6088195772640365,0.6500000013936217
3,3,3,True,1,0.30000001192092896,0.5402289628982544,0.5632486689650297,0.6790000122923703
0,1,0,True,0,0.5,0.3354511559009552,0.658077503034407,0.5789999971512589
3,0,3,True,1,0.550000011920929,0.5134501457214355,0.6841814055442375,0.6649999893374305
0,2,0,True,0,0.699999988079071,0.19978095591068268,0.768871768122878,0.5209999976935672
0,2,0,True,1,0.8500000238418579,0.5421205163002014,0.8640454394695402,0.6799999933743011
2,2,2,True,1,0.8999999761581421,0.48412567377090454,0.8983194123648568,0.6500000013936217
3,1,3,True,0,0.5,0.30171340703964233,0.658077503034407,0.5639999994126826
3,1,3,True,0,0.44999998807907104,0.308532178401947,0.6329695552826582,0.5670000011910246
1,0,1,True,0,0.6000000238418579,0.38338443636894226,0.7113207692620573,0.6009999943513901
0,1,0,True,0,0.44999998807907104,0.22179484367370605,0.6329695552826582,0.530000000488792
3,1,3,True,0,0.5,0.19483736157417297,0.658077503034407,0.5190000003162492
2,0,2,True,0,0.6000000238418579,0.3596412241458893,0.7113207692620573,0.5899999944934109
3,1,3,True,1,0.5,0.6403409838676453,0.658077503034407,0.7340000160240354
2,2,2,True,0,1.0,0.8152526617050171,0.971,0.8409999920220813
